uid,code,description
y1hCF6KZew4,V313,V313 Occupant of threewheeled motor vehicle injured in collision with pedal cycle unspecified occupant of threewheeled motor vehicle nontraffic accident
Lm6hvH39El9,V314,V314 Occupant of threewheeled motor vehicle injured in collision with pedal cycle while boarding or alighting
PyGdehNsjud,V315,V315 Occupant of threewheeled motor vehicle injured in collision with pedal cycle driver traffic accident
WQfiQJuqPX7,V316,V316 Occupant of threewheeled motor vehicle injured in collision with pedal cycle passenger traffic accident
KKa19c8hsaf,V317,V317 Occupant of threewheeled motor vehicle injured in collision with pedal cycle person on outside of vehicle traffic accident
foHrBYxFyWR,V319,V319 Occupant of threewheeled motor vehicle injured in collision with pedal cycle unspecified occupant of threewheeled motor vehicle traffic accident
UqxogK2SkBA,V32,V32 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle
yhFt3Zw2EhZ,V320,V320 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle driver nontraffic accident
r0cNJOiy70x,V321,V321 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle passenger nontraffic accident
aOZotGgyLxe,V322,V322 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle person on outside of vehicle nontraffic accident
YgOT4MpL32l,V323,V323 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle unspecified occupant of threewheeled motor vehicle nontraffic accident
AocK4JqTeR6,V324,V324 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle while boarding or alighting
sJcuMvLUAOO,V325,V325 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle driver traffic accident
EG9TKNKx6uL,V326,V326 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle passenger traffic accident
xXUiXhHrbR5,V327,V327 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle person on outside of vehicle traffic accident
sM38c2AOi1S,V329,V329 Occupant of threewheeled motor vehicle injured in collision with two or threewheeled motor vehicle unspecified occupant of threewheeled motor vehicle traffic accident
SZ7MYJ2AlWy,V33,V33 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van
N74iZxo1AFK,V330,V330 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van driver nontraffic accident
YWEch2DlTTQ,V331,V331 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van passenger nontraffic accident
sk2iBI0QxN8,V332,V332 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van person on outside of vehicle nontraffic accident
gud4gSBkynK,V333,V333 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van unspecified occupant of threewheeled motor vehicle nontraffic accident
qIrJqEmCeJJ,V335,V335 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van driver traffic accident
TFwxgrXAdFR,V336,V336 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van passenger traffic accident
bkgfms6rW46,W071,W071 Fall involving chair residential institution
dXcRbQnBB8H,V337,V337 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van person on outside of vehicle traffic accident
jZBdbiqiQxz,V406,V406 Car occupant injured in collision with pedestrian or animal passenger traffic accident
qna3H81gHym,V339,V339 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van unspecified occupant of threewheeled motor vehicle traffic accident
wXnY1pbuYJ4,V34,V34 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus
Evg0pVRph2h,V340,V340 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus driver nontraffic accident
WJI4Uc1gqkW,V341,V341 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus passenger nontraffic accident
lwYPxTJ5xBj,V342,V342 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus person on outside of vehicle nontraffic accident
UHfOx2zV3ym,V343,V343 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus unspecified occupant of threewheeled motor vehicle nontraffic accident
m6A01V4KaI6,V344,V344 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting
vTVQVFqXKRA,V345,V345 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus driver traffic accident
B0nhW92LkzZ,V346,V346 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus passenger traffic accident
s4X7bKTWmSF,V347,V347 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus person on outside of vehicle traffic accident
nxtfANBhLJo,V349,V349 Occupant of threewheeled motor vehicle injured in collision with heavy transport vehicle or bus unspecified occupant of threewheeled motor vehicle traffic accident
As433jTvNn2,V35,V35 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle
R5b8I2rf3F3,V350,V350 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle driver nontraffic accident
chyJsaGKfwj,V351,V351 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle passenger nontraffic accident
iRUuJvLNi3H,V352,V352 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle person on outside of vehicle nontraffic accident
kQGvqig97vb,V353,V353 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle unspecified occupant of threewheeled motor vehicle nontraffic accident
fqBXVW6Igi4,V354,V354 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle while boarding or alighting
m0d01bb1Nj7,V355,V355 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle driver traffic accident
yWqVagVeILt,V356,V356 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle passenger traffic accident
IoVDqXxSJcc,V393,V393 Occupant any of threewheeled motor vehicle injured in unspecified nontraffic accident
mcDdPj7ZReQ,V357,V357 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle person on outside of vehicle traffic accident
yf2aHKT6Zep,V359,V359 Occupant of threewheeled motor vehicle injured in collision with railway train or railway vehicle unspecified occupant of threewheeled motor vehicle traffic accident
CiSr0g4FarK,V36,V36 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle
N9Sz5z3cz7g,V360,V360 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle driver nontraffic accident
ah2lEOz7KAO,V361,V361 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle passenger nontraffic accident
eNMy255nmiX,V362,V362 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle person on outside of vehicle nontraffic accident
pdcBZaRxW0X,V363,V363 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle unspecified occupant of threewheeled motor vehicle nontraffic accident
x6x09koX1Yc,V364,V364 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle while boarding or alighting
YokNhOEXXfz,V365,V365 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle driver traffic accident
kn7JE3QcgBh,V366,V366 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle passenger traffic accident
p98HhObj4te,V367,V367 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle person on outside of vehicle traffic accident
VG7xTG96vjO,W280,W280 Contact with powered lawnmower home
bgqDWs0vQKT,V369,V369 Occupant of threewheeled motor vehicle injured in collision with other nonmotor vehicle unspecified occupant of threewheeled motor vehicle traffic accident
TCNufmPFAip,V370,V370 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object driver nontraffic accident
TnnpUiHOHwK,V371,V371 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object passenger nontraffic accident
xyqA7ukAoBA,V372,V372 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object person on outside of vehicle nontraffic accident
bkmg4aSfpnX,V373,V373 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object unspecified occupant of threewheeled motor vehicle nontraffic accident
XMvD8DuqZ5k,V374,V374 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object while boarding or alighting
k6tYiwiOPzC,V375,V375 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object driver traffic accident
FgdAh6KSKnM,V376,V376 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object passenger traffic accident
eUswfmQlbyD,V377,V377 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object person on outside of vehicle traffic accident
pjemoAHk1Zd,V379,V379 Occupant of threewheeled motor vehicle injured in collision with fixed or stationary object unspecified occupant of threewheeled motor vehicle traffic accident
x2AKOAbpKQ2,V38,V38 Occupant of threewheeled motor vehicle injured in noncollision transport accident
yrmvXY7bXqv,V380,V380 Occupant of threewheeled motor vehicle injured in noncollision transport accident driver nontraffic accident
xA9cUtGdhiH,V381,V381 Occupant of threewheeled motor vehicle injured in noncollision transport accident passenger nontraffic accident
ryC2Ott7BNl,V382,V382 Occupant of threewheeled motor vehicle injured in noncollision transport accident person on outside of vehicle nontraffic accident
EwE56ig9pNc,V383,V383 Occupant of threewheeled motor vehicle injured in noncollision transport accident unspecified occupant of threewheeled motor vehicle nontraffic accident
z9LxUpRfwr5,V384,V384 Occupant of threewheeled motor vehicle injured in noncollision transport accident while boarding or alighting
oPXgz8mjWVv,V385,V385 Occupant of threewheeled motor vehicle injured in noncollision transport accident driver traffic accident
C9TwD21AUN0,V386,V386 Occupant of threewheeled motor vehicle injured in noncollision transport accident passenger traffic accident
bwPayPL8jTE,V387,V387 Occupant of threewheeled motor vehicle injured in noncollision transport accident person on outside of vehicle traffic accident
aM2l0Ze2zwU,V389,V389 Occupant of threewheeled motor vehicle injured in noncollision transport accident unspecified occupant of threewheeled motor vehicle traffic accident
MeYqBqY7Dqn,V39,V39 Occupant of threewheeled motor vehicle injured in other and unspecified transport accidents
ajAH72V1lOl,V390,V390 Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
UtLnKDZKF9A,V391,V391 Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
RJOMzdcl8dZ,V392,V392 Unspecified occupant of threewheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
HKjjcaWKCNd,V394,V394 Driver injured in collision with other and unspecified motor vehicles in traffic accident
ouJJWwXIlGt,V395,V395 Passenger injured in collision with other and unspecified motor vehicles in traffic accident
MyY4U7eta91,V396,V396 Unspecified occupant of threewheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
S3Gu1hUBrjZ,V398,V398 Occupant any of threewheeled motor vehicle injured in other specified transport accidents
gbALJ674FsD,V399,V399 Occupant any of threewheeled motor vehicle injured in unspecified traffic accident
hMY0gBG6oXD,V40,V40 Car occupant injured in collision with pedestrian or animal
CcCt1fkcnUi,V400,V400 Car occupant injured in collision with pedestrian or animal driver nontraffic accident
ONnJcSgroyM,V401,V401 Car occupant injured in collision with pedestrian or animal passenger nontraffic accident
jdgYigeZjGJ,V402,V402 Car occupant injured in collision with pedestrian or animal person on outside of vehicle nontraffic accident
ZzhrH487zac,V403,V403 Car occupant injured in collision with pedestrian or animal unspecified car occupant nontraffic accident
tJ8bPL7LZH3,V404,V404 Car occupant injured in collision with pedestrian or animal while boarding or alighting
VDeZmcnbruW,V405,V405 Car occupant injured in collision with pedestrian or animal driver traffic accident
w7sEml6vHCg,V978,V978 Other air transport accidents NEC
FHh5pwlIiWh,V407,V407 Car occupant injured in collision with pedestrian or animal person on outside of vehicle traffic accident
xAZeBtzs2eD,V409,V409 Car occupant injured in collision with pedestrian or animal unspecified car occupant traffic accident
hliyOwuqyIp,V41,V41 Car occupant injured in collision with pedal cycle
bAdsJ8Tl4Er,V410,V410 Car occupant injured in collision with pedal cycle driver nontraffic accident
w4KIWzkn8wF,V411,V411 Car occupant injured in collision with pedal cycle passenger nontraffic accident
b3VcFttqojA,V412,V412 Car occupant injured in collision with pedal cycle person on outside of vehicle nontraffic accident
ICLFEojHEzI,V413,V413 Car occupant injured in collision with pedal cycle unspecified car occupant nontraffic accident
raaMq1Z3yLg,V414,V414 Car occupant injured in collision with pedal cycle while boarding or alighting
rQGUHmXKmgY,V415,V415 Car occupant injured in collision with pedal cycle driver traffic accident
hS6p9KdbNYW,V416,V416 Car occupant injured in collision with pedal cycle passenger traffic accident
Ri2jyd0VNbq,V417,V417 Car occupant injured in collision with pedal cycle person on outside of vehicle traffic accident
O07rfPcDZJ2,V419,V419 Car occupant injured in collision with pedal cycle unspecified car occupant traffic accident
iWisScY5eJb,V42,V42 Car occupant injured in collision with two or threewheeled motor vehicle
s5bHSpjEMTA,V420,V420 Car occupant injured in collision with two or threewheeled motor vehicle driver nontraffic accident
X0DwD2p8QZD,V421,V421 Car occupant injured in collision with two or threewheeled motor vehicle passenger nontraffic accident
TyAaGgud6VO,V422,V422 Car occupant injured in collision with two or threewheeled motor vehicle person on outside of vehicle nontraffic accident
KNlr2SxAqq8,V423,V423 Car occupant injured in collision with two or threewheeled motor vehicle unspecified car occupant nontraffic accident
j6P4k3JbEl0,V424,V424 Car occupant injured in collision with two or threewheeled motor vehicle while boarding or alighting
xrOG2v5hWUp,V425,V425 Car occupant injured in collision with two or threewheeled motor vehicle driver traffic accident
Q23DFAdt79j,V426,V426 Car occupant injured in collision with two or threewheeled motor vehicle passenger traffic accident
PxMgLACjpsd,V427,V427 Car occupant injured in collision with two or threewheeled motor vehicle person on outside of vehicle traffic accident
LsE1OXvyjDX,V429,V429 Car occupant injured in collision with two or threewheeled motor vehicle unspecified car occupant traffic accident
Ob3m3Flcb8H,V43,V43 Car occupant injured in collision with car pickup truck or van
UzUdXQtQZl6,V430,V430 Car occupant injured in collision with car pickup truck or van driver nontraffic accident
CFBIotPNAHC,V431,V431 Car occupant injured in collision with car pickup truck or van passenger nontraffic accident
NQ31cmVuHiv,V432,V432 Car occupant injured in collision with car pickup truck or van person on outside of vehicle nontraffic accident
wyBLwONfeCR,V433,V433 Car occupant injured in collision with car pickup truck or van unspecified car occupant nontraffic accident
oXpEBOaZ6p7,V434,V434 Car occupant injured in collision with car pickup truck or van while boarding or alighting
CaSroUV1OBw,V435,V435 Car occupant injured in collision with car pickup truck or van driver traffic accident
c1XHdIlq864,V436,V436 Car occupant injured in collision with car pickup truck or van passenger traffic accident
tjcdP0rGz6q,V48,V48 Car occupant injured in noncollision transport accident
hBHxTLykoYY,V437,V437 Car occupant injured in collision with car pickup truck or van person on outside of vehicle traffic accident
m7boQda9WJu,V439,V439 Car occupant injured in collision with car pickup truck or van unspecified car occupant traffic accident
Me6i70Ms00b,V44,V44 Car occupant injured in collision with heavy transport vehicle or bus
t40NNFStrzS,V440,V440 Car occupant injured in collision with heavy transport vehicle or bus driver nontraffic accident
E7zQKXsHeHB,V441,V441 Car occupant injured in collision with heavy transport vehicle or bus passenger nontraffic accident
wSLOV2jZve8,V442,V442 Car occupant injured in collision with heavy transport vehicle or bus person on outside of vehicle nontraffic accident
ywhTQR1xwNX,V443,V443 Car occupant injured in collision with heavy transport vehicle or bus unspecified car occupant nontraffic accident
qLjkqdbDJlN,V98,V98 Other specified transport accidents
PMlSMMO1mid,V444,V444 Car occupant injured in collision with heavy transport vehicle or bus while boarding or alighting
EdIJYMS4vIX,V445,V445 Car occupant injured in collision with heavy transport vehicle or bus driver traffic accident
ez2ameDqiw6,V446,V446 Car occupant injured in collision with heavy transport vehicle or bus passenger traffic accident
lI5zj0B1BNI,V447,V447 Car occupant injured in collision with heavy transport vehicle or bus person on outside of vehicle traffic accident
frNaKHTZOtA,V449,V449 Car occupant injured in collision with heavy transport vehicle or bus unspecified car occupant traffic accident
UB1KFwAGHWR,V45,V45 Car occupant injured in collision with railway train or railway vehicle
GMAt3YipRmS,V450,V450 Car occupant injured in collision with railway train or railway vehicle driver nontraffic accident
aANqOyTM7GT,V451,V451 Car occupant injured in collision with railway train or railway vehicle passenger nontraffic accident
POLd24yT24e,V452,V452 Car occupant injured in collision with railway train or railway vehicle person on outside of vehicle nontraffic accident
FzTgd0lNdc3,V453,V453 Car occupant injured in collision with railway train or railway vehicle unspecified car occupant nontraffic accident
MEUjVLF2GhE,V454,V454 Car occupant injured in collision with railway train or railway vehicle while boarding or alighting
OzCbPN09m3w,V455,V455 Car occupant injured in collision with railway train or railway vehicle driver traffic accident
Ll7aOUslEL1,V456,V456 Car occupant injured in collision with railway train or railway vehicle passenger traffic accident
gP4QHfBUFjG,V457,V457 Car occupant injured in collision with railway train or railway vehicle person on outside of vehicle traffic accident
YKK0KiXzYR4,V459,V459 Car occupant injured in collision with railway train or railway vehicle unspecified car occupant traffic accident
B7ebovdyYiV,V46,V46 Car occupant injured in collision with other nonmotor vehicle
XzheA7Pi7Zf,V460,V460 Car occupant injured in collision with other nonmotor vehicle driver nontraffic accident
kT606PyEoXH,V461,V461 Car occupant injured in collision with other nonmotor vehicle passenger nontraffic accident
BwcD2fLLfZW,V462,V462 Car occupant injured in collision with other nonmotor vehicle person on outside of vehicle nontraffic accident
sq7xJ3Buuz7,V463,V463 Car occupant injured in collision with other nonmotor vehicle unspecified car occupant nontraffic accident
kfW9iol9EAG,V464,V464 Car occupant injured in collision with other nonmotor vehicle while boarding or alighting
uV9iUx5QYnY,V465,V465 Car occupant injured in collision with other nonmotor vehicle driver traffic accident
pifBMq2uWQF,V466,V466 Car occupant injured in collision with other nonmotor vehicle passenger traffic accident
wRmNGfvK1cB,V467,V467 Car occupant injured in collision with other nonmotor vehicle person on outside of vehicle traffic accident
oDm0TrVPK9n,V469,V469 Car occupant injured in collision with other nonmotor vehicle unspecified car occupant traffic accident
s7x2uUtSTUw,V47,V47 Car occupant injured in collision with fixed or stationary object
veQKyp9VBR9,V470,V470 Car occupant injured in collision with fixed or stationary object driver nontraffic accident
tBASeilKxKq,V471,V471 Car occupant injured in collision with fixed or stationary object passenger nontraffic accident
V5BAmDBgy3q,V472,V472 Car occupant injured in collision with fixed or stationary object person on outside of vehicle nontraffic accident
SHmwHVuJ37k,V473,V473 Car occupant injured in collision with fixed or stationary object unspecified car occupant nontraffic accident
PhixkgKHcrW,V474,V474 Car occupant injured in collision with fixed or stationary object while boarding or alighting
WL5pexAU6Td,V475,V475 Car occupant injured in collision with fixed or stationary object driver traffic accident
vK19xvc7E51,V476,V476 Car occupant injured in collision with fixed or stationary object passenger traffic accident
ifuYRUQ7A0b,V477,V477 Car occupant injured in collision with fixed or stationary object person on outside of vehicle traffic accident
X0Wd4MlYdkl,V479,V479 Car occupant injured in collision with fixed or stationary object unspecified car occupant traffic accident
Uh5x7z6WVgZ,V480,V480 Car occupant injured in noncollision transport accident driver nontraffic accident
LzS9Pr8JhpM,V481,V481 Car occupant injured in noncollision transport accident passenger nontraffic accident
NrsNUBVBjsN,V482,V482 Car occupant injured in noncollision transport accident person on outside of vehicle nontraffic accident
gSZeni6zcIB,V483,V483 Car occupant injured in noncollision transport accident unspecified car occupant nontraffic accident
Gu5N2IbAAkf,V484,V484 Car occupant injured in noncollision transport accident while boarding or alighting
EspFrMQmwJb,V485,V485 Car occupant injured in noncollision transport accident driver traffic accident
HKffE98BQIM,Y454,Y454 Antirheumatics
w46SASOydom,V486,V486 Car occupant injured in noncollision transport accident passenger traffic accident
MSvxel1LIrj,V487,V487 Car occupant injured in noncollision transport accident person on outside of vehicle traffic accident
Ii0GH6cvKvJ,V489,V489 Car occupant injured in noncollision transport accident unspecified car occupant traffic accident
YBRHEzgutMw,V49,V49 Car occupant injured in other and unspecified transport accidents
FlZbX9VMTlR,V490,V490 Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
LVGL6aNaSbM,V491,V491 Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
EntIVxYogOo,V492,V492 Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
foAbkVEXzWo,V493,V493 Car occupant any injured in unspecified nontraffic accident
hASPBsSW8FK,V494,V494 Driver injured in collision with other and unspecified motor vehicles in traffic accident
GW1MWILfIj9,V495,V495 Passenger injured in collision with other and unspecified motor vehicles in traffic accident
YjK67I6yeY0,V496,V496 Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident
hDww67LYkzl,V498,V498 Car occupant any injured in other specified transport accidents
oQiTFMdi6dB,V499,V499 Car occupant any injured in unspecified traffic accident
ZgmavMdNTxs,V500,V500 Occupant of pickup truck or van injured in collision with pedestrian or animal driver nontraffic accident
cy7yZeGDmst,V501,V501 Occupant of pickup truck or van injured in collision with pedestrian or animal passenger nontraffic accident
m11He2w98o0,V502,V502 Occupant of pickup truck or van injured in collision with pedestrian or animal person on outside of vehicle nontraffic accident
XCJOlJTfYDH,V503,V503 Occupant of pickup truck or van injured in collision with pedestrian or animal unspecified occupant of pickup truck or van nontraffic accident
foktqhhPj8U,V504,V504 Occupant of pickup truck or van injured in collision with pedestrian or animal while boarding or alighting
cNaYIptXqBZ,V505,V505 Occupant of pickup truck or van injured in collision with pedestrian or animal driver traffic accident
V7QbxXo1i2y,V506,V506 Occupant of pickup truck or van injured in collision with pedestrian or animal passenger traffic accident
B9e50lCpYme,V507,V507 Occupant of pickup truck or van injured in collision with pedestrian or animal person on outside of vehicle traffic accident
JqnOa9PjAFm,V509,V509 Occupant of pickup truck or van injured in collision with pedestrian or animal unspecified occupant of pickup truck or van traffic accident
zOAg6Ohh80n,V51,V51 Occupant of pickup truck or van injured in collision with pedal cycle
YkEbYYvrSfS,V510,V510 Occupant of pickup truck or van injured in collision with pedal cycle driver nontraffic accident
v9Z45sGpGMR,V511,V511 Occupant of pickup truck or van injured in collision with pedal cycle passenger nontraffic accident
Ywof1eXB775,V512,V512 Occupant of pickup truck or van injured in collision with pedal cycle person on outside of vehicle nontraffic accident
ZrOuEYM9L6g,V513,V513 Occupant of pickup truck or van injured in collision with pedal cycle unspecified occupant of pickup truck or van nontraffic accident
CJ6zQTY5bDp,V514,V514 Occupant of pickup truck or van injured in collision with pedal cycle while boarding or alighting
fE6gWbiSv3Q,V515,V515 Occupant of pickup truck or van injured in collision with pedal cycle driver traffic accident
OHeCY4rBza3,V516,V516 Occupant of pickup truck or van injured in collision with pedal cycle passenger traffic accident
sHwitORp90W,V517,V517 Occupant of pickup truck or van injured in collision with pedal cycle person on outside of vehicle traffic accident
OMRhhS0QDFo,V519,V519 Occupant of pickup truck or van injured in collision with pedal cycle unspecified occupant of pickup truck or van traffic accident
uq7hIO1MJ6O,V52,V52 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle
zjh0bJwBLQZ,V520,V520 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle driver nontraffic accident
ooXJJuPuwwQ,V521,V521 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle passenger nontraffic accident
qPtfJB3d4oJ,V522,V522 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle person on outside of vehicle nontraffic accident
uwMfhzmmCyf,V523,V523 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle unspecified occupant of pickup truck or van nontraffic accident
ZWLyho5bwdz,V524,V524 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle while boarding or alighting
stWqoWCfosj,V525,V525 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle driver traffic accident
At0W6xBO0y2,V526,V526 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle passenger traffic accident
C89Up3tJbTK,V527,V527 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle person on outside of vehicle traffic accident
tcVJnP9WY19,V529,V529 Occupant of pickup truck or van injured in collision with two or threewheeled motor vehicle unspecified occupant of pickup truck or van traffic accident
UXGtbGOzjIb,V53,V53 Occupant of pickup truck or van injured in collision with car pickup truck or van
syPAJAlKvXN,V530,V530 Occupant of pickup truck or van injured in collision with car pickup truck or van driver nontraffic accident
sNsJrHHzERg,V531,V531 Occupant of pickup truck or van injured in collision with car pickup truck or van passenger nontraffic accident
XYECxsc125B,V532,V532 Occupant of pickup truck or van injured in collision with car pickup truck or van person on outside of vehicle nontraffic accident
LxUQz5ImYI1,V533,V533 Occupant of pickup truck or van injured in collision with car pickup truck or van unspecified occupant of pickup truck or van nontraffic accident
IvAJc9Df99P,V534,V534 Occupant of pickup truck or van injured in collision with car pickup truck or van while boarding or alighting
Q1BOMSmL1g3,V535,V535 Occupant of pickup truck or van injured in collision with car pickup truck or van driver traffic accident
IY0JwWDU1SH,V536,V536 Occupant of pickup truck or van injured in collision with car pickup truck or van passenger traffic accident
yEYch59oPuC,V537,V537 Occupant of pickup truck or van injured in collision with car pickup truck or van person on outside of vehicle traffic accident
U4nd9EHotJX,V539,V539 Occupant of pickup truck or van injured in collision with car pickup truck or van unspecified occupant of pickup truck or van traffic accident
JMfjRWtRoQ2,V54,V54 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus
WI4iz6GDUzc,V540,V540 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus driver nontraffic accident
ue3b7eftfou,V541,V541 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus passenger nontraffic accident
LW0tHjDj5X8,V542,V542 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus person on outside of vehicle nontraffic accident
dvjhHKpmA6M,V543,V543 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus unspecified occupant of pickup truck or van nontraffic accident
KvdjaRQ8y6h,V544,V544 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus while boarding or alighting
GU66KJc2Sw5,V545,V545 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus driver traffic accident
JEtBkMsfXLZ,V546,V546 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus passenger traffic accident
MAiYGu2EY8F,V547,V547 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus person on outside of vehicle traffic accident
F1ALU4X13E0,V549,V549 Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus unspecified occupant of pickup truck or van traffic accident
gLGX74Yoe23,V55,V55 Occupant of pickup truck or van injured in collision with railway train or railway vehicle
XTJAi9NCGvw,V550,V550 Occupant of pickup truck or van injured in collision with railway train or railway vehicle driver nontraffic accident
KW25Oe7bVQt,V551,V551 Occupant of pickup truck or van injured in collision with railway train or railway vehicle passenger nontraffic accident
moC0AJSylHz,V552,V552 Occupant of pickup truck or van injured in collision with railway train or railway vehicle person on outside of vehicle nontraffic accident
XgYh6ATTRcU,V553,V553 Occupant of pickup truck or van injured in collision with railway train or railway vehicle unspecified occupant of pickup truck or van nontraffic accident
YUzSpyznO0t,V99,V99 Unspecified transport accident
Dicx8VoIDUX,V554,V554 Occupant of pickup truck or van injured in collision with railway train or railway vehicle while boarding or alighting
duTOAX4Y1zs,V555,V555 Occupant of pickup truck or van injured in collision with railway train or railway vehicle driver traffic accident
svmzcj1l31S,V556,V556 Occupant of pickup truck or van injured in collision with railway train or railway vehicle passenger traffic accident
KN0jWS5prJL,V557,V557 Occupant of pickup truck or van injured in collision with railway train or railway vehicle person on outside of vehicle traffic accident
FMbYlA22YUF,V559,V559 Occupant of pickup truck or van injured in collision with railway train or railway vehicle unspecified occupant of pickup truck or van traffic accident
qeAi5yL3Bzi,V56,V56 Occupant of pickup truck or van injured in collision with other nonmotor vehicle
VNm6woxE740,V560,V560 Occupant of pickup truck or van injured in collision with other nonmotor vehicle driver nontraffic accident
pL77bn97Prr,V561,V561 Occupant of pickup truck or van injured in collision with other nonmotor vehicle passenger nontraffic accident
xAX2AXdDl8T,V562,V562 Occupant of pickup truck or van injured in collision with other nonmotor vehicle person on outside of vehicle nontraffic accident
ygUnYm47uIe,V563,V563 Occupant of pickup truck or van injured in collision with other nonmotor vehicle unspecified occupant of pickup truck or van nontraffic accident
UGJT1XM6TRd,V564,V564 Occupant of pickup truck or van injured in collision with other nonmotor vehicle while boarding or alighting
smUV2WIhLPK,V565,V565 Occupant of pickup truck or van injured in collision with other nonmotor vehicle driver traffic accident
YNIRXWnXGrD,V566,V566 Occupant of pickup truck or van injured in collision with other nonmotor vehicle passenger traffic accident
